编号,租金,租赁方式,地铁距离,房屋类型,房屋面积,朝向,楼层,车位,用电,采暖,电梯,用水,燃气,区域
BJ1571399169942224896,5200,整租,,2室1厅2卫,90,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,大兴
BJ1573992974050656256,4100,整租,,2室1厅1卫,71,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,大兴
BJ1572459807284133888,5200,整租,146m,2室1厅1卫,90.1,南/北,中楼层,租用车位,民电,自采暖,有,民水,有,通州
BJ1572862978158493696,2900,整租,337m,1室0厅1卫,50.3,西,高楼层,租用车位,商电,集中供暖,有,商水,有,房山
BJ2864306694173753344,6800,整租,503m,3室1厅2卫,118,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1565894060214845440,1700,整租,,2房间1卫,29.5,西,中楼层,免费使用,商电,集中供暖,有,民水,无,房山
BJ1571385904067510272,2300,整租,,1室1厅1卫,40,北,低楼层,租用车位,民电,集中供暖,无,民水,有,房山
BJ1573627278355595264,5500,整租,,3房间1卫,96,东南,高楼层,租用车位,商电,集中供暖,有,民水,有,大兴
BJ1573158245869027328,6300,整租,,2室2厅2卫,110,东/西,中楼层,租用车位,民电,集中供暖,无,民水,有,昌平
BJ2894271598389362688,5000,整租,,2室1厅1卫,87.4,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ2858603203006832640,5200,整租,,3室1厅1卫,91,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,昌平
BJ1574250400792444928,5300,整租,,3室1厅1卫,93,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1573202035195510784,10000,整租,,4室2厅3卫,175.5,南/北,高楼层,租用车位,民电,自采暖,有,民水,有,通州
BJ2863086142356725760,4500,整租,418m,3房间1卫,79,西南,低楼层,租用车位,商电,集中供暖,有,民水,有,大兴
BJ1568901887254593536,4500,整租,,2室1厅1卫,79,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ2781754500774633472,5000,整租,,2室1厅1卫,87.79,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,朝阳
BJ2848686531399925760,4100,整租,598m,2室1厅1卫,72,南/北,中楼层,免费使用,民电,集中供暖,无,民水,有,大兴
BJ1572065991733542912,5000,整租,886m,2室1厅1卫,87.9,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,顺义
BJ1565917403030749184,5400,整租,343m,3室1厅1卫,95,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ2883470557297516544,4600,整租,,3房间1卫,81,东,中楼层,租用车位,商电,集中供暖,有,商水,有,大兴
BJ1574606631210057728,3400,整租,,2室1厅1卫,60,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,通州
BJ1572077796656676864,6000,整租,633m,3室1厅2卫,106,南/北,中楼层,免费使用,民电,集中供暖,无,民水,有,顺义
BJ2832637019938111488,8200,整租,,3室1厅2卫,145,南,高楼层,租用车位,民电,集中供暖,有,民水,有,门头沟
BJ2847760419891200000,5000,整租,702m,2室1厅1卫,88.75,南,低楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ1571136701110157312,5200,整租,,3房间1卫,92.46,东北,低楼层,租用车位,商电,集中供暖,有,民水,有,大兴
BJ1574356009101557760,5000,整租,,3室1厅1卫,89,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1569104784194011136,6000,整租,,3室1厅1卫,107,南/北,低楼层,免费使用,民电,集中供暖,有,民水,有,石景山
BJ1568848599758929920,5100,整租,867m,3室1厅1卫,91,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,顺义
BJ1573560325322571776,7000,整租,,3室2厅2卫,125,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,昌平
BJ2901408723476430848,4200,整租,,3室0厅1卫,75,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ1567374009148899328,8000,整租,,3室2厅2卫,143.37,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,房山
BJ2862368941278502912,5000,整租,531m,3室2厅1卫,89.62,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,房山
BJ1574972616274345984,5500,整租,277m,2室1厅1卫,98.71,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,顺义
BJ1573606352595451904,3900,整租,,2室1厅1卫,70,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,丰台
BJ2823856744869142528,9800,整租,1102m,3室2厅2卫,176,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,亦庄开发区
BJ1573216558287683584,3500,整租,761m,2室1厅1卫,63,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ2884829153792892928,5000,整租,,2室1厅1卫,90,东南,高楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ1572516866033713152,4000,整租,747m,2室1厅1卫,72,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,顺义
BJ1570639911181090816,2300,整租,,1房间1卫,41.5,南,中楼层,免费使用,商电,集中供暖,有,商水,无,顺义
BJ1572894499753951232,2100,整租,,1室0厅1卫,38,南,中楼层,免费使用,民电,自采暖,有,民水,有,顺义
BJ1568838605915291648,3500,整租,841m,2室1厅1卫,63.34,南/西,中楼层,免费使用,民电,集中供暖,无,民水,有,昌平
BJ2884020828658475008,3100,整租,281m,2室1厅1卫,56.12,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,大兴
BJ1570716811987517440,5300,整租,763m,3室1厅1卫,96,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,房山
BJ1568813281039089664,4800,整租,,2室1厅1卫,87,南/北,中楼层,免费使用,民电,集中供暖,有,民水,有,石景山
BJ1565987573510176768,6600,整租,277m,3室1厅1卫,119.87,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,顺义
BJ1566770934470148096,4900,整租,,2室2厅1卫,89,南/北,中楼层,免费使用,民电,集中供暖,有,民水,有,昌平
BJ1572107656628273152,4800,整租,,2室2厅1卫,87.2,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,石景山
BJ2902180155311267840,4300,整租,,1室1厅1卫,78.17,南,高楼层,免费使用,民电,集中供暖,有,民水,有,顺义
BJ1573237369153257472,5500,整租,,3房间2卫,100,东北,高楼层,租用车位,民电,集中供暖,有,商水,有,通州
BJ2891324797512859648,3900,整租,418m,2房间1卫,71,东,高楼层,租用车位,商电,集中供暖,有,民水,有,大兴
BJ1567132944684810240,4400,整租,,2室1厅1卫,80.14,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ2897925456940769280,5600,整租,607m,3室1厅1卫,102,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ2629718418928181248,5300,整租,406m,1房间1卫,96.64,西/北,低楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ2902258697151447040,4300,整租,,2室1厅1卫,78.48,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,亦庄开发区
BJ2900629718926114816,4600,整租,666m,2室1厅1卫,84,南/北,低楼层,免费使用,民电,集中供暖,无,民水,有,顺义
BJ1571071955870679040,2300,整租,,1室1厅1卫,42,南,高楼层,免费使用,民电,集中供暖,无,民水,有,门头沟
BJ1572455265297498112,2900,整租,,2房间1卫,53,西,高楼层,租用车位,民电,集中供暖,有,民水,无,通州
BJ2901522571474509824,5800,整租,886m,2室1厅1卫,106,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,顺义
BJ2902799449514311680,4100,整租,,1室1厅1卫,75,南,中楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ1570772045262749696,5100,整租,1087m,3室1厅1卫,93.5,东/西,中楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ2806507001423863808,4500,整租,119m,3室2厅1卫,82.55,南/北,中楼层,免费使用,民电,集中供暖,无,民水,有,大兴
BJ1573965460016201728,6000,整租,1172m,2室2厅1卫,110.2,南/北,低楼层,租用车位,民电,自采暖,有,民水,有,朝阳
BJ1572901671007158272,3800,整租,,2室1厅1卫,70,南,中楼层,免费使用,民电,集中供暖,有,民水,有,石景山
BJ1565244566238396416,3800,整租,,2室1厅1卫,70,南,高楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ2780246890380263424,5800,整租,,2室1厅1卫,107,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ2871616937413050368,7300,整租,277m,3室1厅2卫,135,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,顺义
BJ1565546009700859904,4700,整租,,2室1厅1卫,87,南/北,高楼层,免费使用,民电,集中供暖,有,民水,有,石景山
BJ1572365831919108096,2700,整租,,1室1厅1卫,50,南/北,低楼层,免费使用,民电,集中供暖,无,民水,有,石景山
BJ1569518782961942528,5000,整租,,3室2厅1卫,92.6,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ2904268850948210688,2800,整租,,1室0厅1卫,51.86,北,高楼层,租用车位,民电,集中供暖,有,民水,有,门头沟
BJ1569532319843221504,5500,整租,,2室1厅1卫,102,东南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ1567745544065908736,5500,整租,529m,3室1厅1卫,102,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,通州
BJ2884921903536422912,7000,整租,186m,3室1厅1卫,130,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,通州
BJ1573888971010736128,3500,整租,,2室1厅1卫,65,南,高楼层,免费使用,民电,集中供暖,有,民水,有,通州
BJ2900006340770398208,5000,整租,299m,3室1厅1卫,93,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1574760819017646080,5000,整租,,2室1厅2卫,93,南,低楼层,租用车位,民电,集中供暖,有,民水,有,门头沟
BJ2792142899788390400,5200,整租,536m,2室2厅1卫,96.74,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,通州
BJ2898617124614848512,4300,整租,886m,2室1厅1卫,80,南,高楼层,免费使用,民电,集中供暖,无,民水,有,通州
BJ1567081372957278208,7600,整租,307m,3室1厅2卫,141.4,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,房山
BJ2902830545413079040,3600,整租,,2房间1卫,67,东南/南,高楼层,免费使用,商电,集中供暖,有,商水,无,门头沟
BJ2878255295052914688,6500,整租,277m,3室2厅2卫,121,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,顺义
BJ2802188401775230976,4000,整租,598m,2室1厅1卫,75.02,南/北,中楼层,免费使用,民电,集中供暖,无,民水,有,大兴
BJ1569998235710259200,5200,整租,1087m,3室1厅1卫,98,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ1569588527941812224,3500,整租,,2室1厅1卫,66,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,门头沟
BJ2879035446376546304,4500,整租,1195m,2室1厅1卫,85,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,门头沟
BJ1566735599451242496,2700,整租,,1室1厅1卫,51,南,低楼层,租用车位,民电,集中供暖,有,民水,有,顺义
BJ1571859536673767424,7200,整租,1009m,4室1厅2卫,136,南/北,高楼层,免费使用,民电,集中供暖,有,民水,有,房山
BJ2883913517449355264,4500,整租,164m,2室1厅1卫,85.05,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,顺义
BJ2856573151976882176,5500,整租,无,2室2厅2卫,104,南,中楼层,免费使用,民电,集中供暖,有,民水,有,顺义
BJ1573585785792233472,5500,整租,,4房间1卫,104.02,东/南,高楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ1567000416393101312,4600,整租,593m,2室1厅1卫,87,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ1569220917588918272,4600,整租,,2室1厅1卫,87,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,昌平
BJ1572157498528366592,3600,整租,,2室1厅1卫,68.2,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,大兴
BJ2852943497672540160,4200,整租,693m,3室1厅1卫,79.6,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,大兴
BJ2884803626193395712,5800,整租,1129m,2室2厅1卫,110,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,通州
BJ1567003800550506496,5700,整租,,3室2厅2卫,108.23,南/西/北,中楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ2881940865453137920,12000,整租,,5室3厅4卫,227.88,南/北,低楼层,免费使用,民电,集中供暖,无,民水,有,顺义
BJ1569908218694467584,5000,整租,,3室2厅2卫,95,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,顺义
BJ2904200929513308160,13500,整租,226m,5室2厅3卫,256.97,南/西北,高楼层,租用车位,民电,集中供暖,无,民水,有,大兴
BJ1572555187996852224,4200,整租,,2室1厅1卫,80,南/北,中楼层,免费使用,民电,集中供暖,有,民水,有,石景山
BJ2785599011933913088,6600,整租,438m,3室2厅2卫,126,南/北,中楼层,免费使用,民电,集中供暖,有,民水,有,通州
BJ2831215823706652672,9000,整租,416m,4室2厅2卫,171.89,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,大兴
BJ2804180983602495488,3000,整租,863m,2室1厅1卫,57.38,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,大兴
BJ1571452363489673216,4100,整租,915m,2室1厅1卫,78.64,南,中楼层,免费使用,民电,自采暖,有,民水,有,房山
BJ2894169904284434432,5000,整租,804m,2室1厅1卫,96.28,东南,低楼层,租用车位,民电,集中供暖,有,民水,有,顺义
BJ1565619168277954560,8600,整租,,4室2厅2卫,166,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,通州
BJ2902899754851901440,4000,整租,603m,2室1厅1卫,77.26,南,中楼层,免费使用,民电,集中供暖,有,民水,有,大兴
BJ2863878220535562240,4500,整租,1000m,3室1厅1卫,87,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,房山
BJ1572428037666897920,6200,整租,,3室1厅1卫,120,东/西,低楼层,免费使用,民电,集中供暖,无,民水,有,石景山
BJ2870149707815469056,3100,整租,988m,2室1厅1卫,60,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,顺义
BJ2767985606595723264,6200,整租,,2室2厅1卫,120,南/北,低楼层,免费使用,民电,集中供暖,无,民水,有,昌平
BJ1570291339306729472,3200,整租,,2室1厅1卫,62,南,低楼层,免费使用,民电,集中供暖,有,民水,有,门头沟
BJ2829075514868899840,6500,整租,416m,3室1厅1卫,126,东/南,中楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1570058361737576448,5000,整租,,2室2厅1卫,97,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,大兴
BJ2899823909190762496,3400,整租,693m,2室1厅1卫,66,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,大兴
BJ2856396133658533888,4100,整租,无,2房间1卫,79.63,东/北,高楼层,租用车位,商电,集中供暖,有,商水,无,门头沟
BJ2892874298056245248,4500,整租,,2室1厅1卫,87.4,东南,高楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ1569633640051113984,3300,整租,,2室1厅1卫,64.11,南/北,高楼层,免费使用,民电,集中供暖,有,民水,有,通州
BJ1570078258626560000,3500,整租,,2房间1卫,68,南,中楼层,免费使用,民电,集中供暖,有,民水,无,通州
BJ2863799803702149120,5300,整租,1143m,3室2厅2卫,103,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,房山
BJ1571876513656078336,3600,整租,,2室1厅1卫,70,南,中楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ1570002699649286144,3500,整租,957m,2室1厅1卫,68.15,东/西/北,低楼层,免费使用,民电,自采暖,有,民水,有,房山
BJ2814596295971577856,4000,整租,738m,3室1厅1卫,78,南/北,中楼层,免费使用,民电,集中供暖,无,民水,有,大兴
BJ1571785214844207104,4600,整租,436m,3室1厅1卫,89.72,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,房山
BJ2778850269809606656,4200,整租,723m,2室1厅1卫,82,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1573185401219186688,4500,整租,,2室1厅1卫,88,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,顺义
BJ1573933692345122816,2300,整租,,1室0厅1卫,45,南,高楼层,免费使用,民电,集中供暖,有,民水,有,门头沟
BJ1569910444590628864,7000,整租,,4室1厅2卫,137,南,中楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1568972642227060736,4700,整租,146m,2室1厅1卫,92,南,中楼层,免费使用,民电,自采暖,有,民水,有,通州
BJ1570991883482562560,4800,整租,,2室1厅1卫,94,南/北,中楼层,免费使用,民电,集中供暖,有,民水,有,顺义
BJ1565609937529208832,3000,整租,,2房间1卫,58.76,南,中楼层,免费使用,商电,集中供暖,有,商水,有,通州
BJ2904392146214207488,4000,整租,333m,2房间1卫,78.5,南,中楼层,租用车位,商电,集中供暖,有,商水,无,顺义
BJ2899338296449056768,4000,整租,787m,3房间1卫,78.6,东/北,低楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1572190447005073408,2900,整租,,1室1厅1卫,57,西,中楼层,免费使用,商电,集中供暖,有,商水,无,顺义
BJ2900140460427182080,5000,整租,1129m,2室2厅2卫,98.37,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,通州
BJ2896224180884480000,6200,整租,,3室2厅2卫,122,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,通州
BJ2884204495922012160,6200,整租,277m,3室1厅2卫,122,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,顺义
BJ2791177334240591872,5600,整租,,3房间2卫,110.21,南,高楼层,租用车位,商电,集中供暖,有,商水,无,房山
BJ2854978051899392000,6500,整租,1129m,3室2厅2卫,128,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ2898547749341634560,3500,整租,,1室1厅1卫,69,南,高楼层,免费使用,民电,集中供暖,有,民水,有,通州
BJ1566022456731238400,3800,整租,,2室1厅1卫,75,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,房山
BJ1573235070976655360,3800,整租,,2室1厅1卫,75,南,中楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ1573204593175691264,4000,整租,,2室1厅1卫,79,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,石景山
BJ1568953537012957184,8000,整租,1146m,4室2厅2卫,158,南/北,高楼层,免费使用,民电,集中供暖,有,民水,有,大兴
BJ2894053444249714688,5300,整租,787m,3房间2卫,105,西,中楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1571404329573679104,4800,整租,1143m,3室1厅1卫,95.16,南/北,中楼层,免费使用,民电,集中供暖,有,民水,有,房山
BJ2873777910580789248,5900,整租,377m,3室2厅2卫,117,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,大兴
BJ2854380981577072640,4500,整租,915m,3室1厅1卫,89.44,南/北,低楼层,租用车位,民电,自采暖,有,民水,有,房山
BJ2904219901550141440,4100,整租,603m,2室1厅1卫,81.7,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ2898371005741268992,6000,整租,,2室2厅1卫,119.95,南/北,高楼层,免费使用,民电,集中供暖,有,民水,有,顺义
BJ2861432945271914496,3600,整租,119m,2室1厅1卫,72,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,大兴
BJ1566772036083122176,5500,整租,,3室1厅2卫,110,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,昌平
BJ1570712872479096832,2600,整租,,3房间1卫,52,西,中楼层,租用车位,民电,集中供暖,有,民水,无,通州
BJ2901976258072289280,4300,整租,,2室1厅1卫,86,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,顺义
BJ2902174932924907520,4500,整租,,2室1厅1卫,90,南/西北,高楼层,免费使用,民电,集中供暖,有,民水,有,大兴
BJ1573253649398759424,4500,整租,972m,2室1厅2卫,90,南/北,低楼层,免费使用,民电,集中供暖,无,民水,有,通州
BJ1572572630593044480,2900,整租,,1室1厅1卫,58,南/北,中楼层,免费使用,民电,集中供暖,无,民水,有,石景山
BJ2906380775043899392,3700,整租,522m,3室0厅1卫,74,南/北,低楼层,免费使用,民电,集中供暖,无,民水,有,房山
BJ1564945947249606656,2900,整租,,2室1厅1卫,58,东北,中楼层,免费使用,民电,集中供暖,无,民水,有,通州
BJ2862357382439378944,4900,整租,1166m,3房间1卫,98,东南,中楼层,租用车位,民电,集中供暖,有,民水,无,房山
BJ1571492183943413760,3200,整租,,2室1厅1卫,64,南/北,中楼层,免费使用,民电,集中供暖,无,民水,有,顺义
BJ1574603912739028992,3000,整租,,2室1厅1卫,60,南/北,低楼层,免费使用,民电,集中供暖,有,民水,有,顺义
BJ2797218902827081728,5200,整租,416m,2室1厅1卫,104.24,南,低楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ2824634608426434560,3000,整租,,1房间1卫,60.18,东/南,中楼层,免费使用,商电,集中供暖,有,商水,无,房山
BJ1574282921152348160,4600,整租,,3室1厅1卫,92.34,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ2901283071347671040,7600,整租,277m,3室2厅2卫,152.96,南/北,中楼层,租用车位,民电,集中供暖,无,民水,有,顺义
BJ1569902400582451200,3380,整租,873m,1室1厅1卫,68.21,东/西,低楼层,免费使用,民电,集中供暖,无,民水,有,昌平
BJ2883449389685145600,5200,整租,416m,2室1厅1卫,105,南/北,低楼层,租用车位,民电,集中供暖,无,民水,有,大兴
BJ1569578780958130176,3500,整租,,2室1厅1卫,70.78,南/北,中楼层,免费使用,民电,集中供暖,有,民水,有,通州
BJ2901977687029448704,4400,整租,,2室1厅1卫,89,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,昌平
BJ2858584383533883392,4400,整租,915m,3室1厅1卫,89,南/北,中楼层,免费使用,民电,自采暖,有,民水,有,房山
BJ1566998037425815552,3200,整租,,2室1厅1卫,64.83,南/北,低楼层,免费使用,民电,集中供暖,有,民水,有,通州
BJ2904282484030046208,3850,整租,1014m,1室1厅1卫,78,东/西,高楼层,租用车位,民电,自采暖,有,民水,有,大兴
BJ2831295700887937024,4900,整租,416m,2室1厅1卫,99.41,西/北,高楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1565619437288030208,3200,整租,,2室1厅1卫,65,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,门头沟
BJ1572869558715285504,6300,整租,715m,3室1厅2卫,128,南/北,高楼层,租用车位,民电,自采暖,有,民水,有,通州
BJ2788383613337739264,2950,整租,无,1室1厅1卫,60,南/北,中楼层,免费使用,民电,集中供暖,无,民水,有,通州
BJ1573219290872545280,5900,整租,,2室1厅1卫,120,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,昌平
BJ2889975140202840064,2700,整租,,1室1厅1卫,55,南,低楼层,租用车位,民电,自采暖,有,民水,有,房山
BJ1570989913468305408,4700,整租,972m,2室2厅1卫,96,南/北,高楼层,免费使用,民电,集中供暖,有,民水,有,通州
BJ2857259739560017920,4500,整租,997m,3室1厅1卫,92,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,房山
BJ2897693721057566720,4200,整租,734m,2室1厅1卫,86,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1574606541443563520,4600,整租,,2室1厅1卫,94.2,南/北,中楼层,租用车位,民电,自采暖,有,民水,有,通州
BJ2894337953243332608,3800,整租,603m,2室1厅1卫,78,南,高楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1574618140896133120,3600,整租,,2室1厅1卫,74,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,通州
BJ2868327495210909696,4300,整租,531m,3室1厅1卫,88.42,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,房山
BJ1574330333715759104,5400,整租,720m,3室2厅1卫,111.06,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,顺义
BJ1570728019016810496,3300,整租,131m,3房间1卫,68,南,低楼层,免费使用,商电,集中供暖,有,民水,有,房山
BJ1566999762295586816,2600,整租,,2室1厅1卫,53.65,南/北,中楼层,免费使用,民电,集中供暖,无,民水,有,门头沟
BJ1572459645820207104,3000,整租,,2室1厅1卫,61.99,西,低楼层,免费使用,民电,集中供暖,有,民水,有,门头沟
BJ2886881802969432064,4300,整租,,3室1厅1卫,89,南/北,高楼层,免费使用,民电,集中供暖,有,民水,有,通州
BJ2902248747968757760,6500,整租,,2室1厅2卫,134.67,东/北,高楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ1572940010057891840,4100,整租,522m,2室1厅1卫,85,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,房山
BJ1569299886573092864,4000,整租,,3室1厅1卫,83,南/北,高楼层,免费使用,民电,集中供暖,有,民水,有,门头沟
BJ1572481839094824960,4000,整租,820m,2室1厅1卫,83,南/北,中楼层,免费使用,民电,集中供暖,无,民水,有,顺义
BJ1572151967516459008,5200,整租,,2室1厅1卫,108,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,昌平
BJ2857246006435643392,4700,整租,1142m,3室1厅1卫,97.7,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1573604252985589760,6800,整租,307m,3室1厅2卫,141.38,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,房山
BJ1573544197728763904,4800,整租,,3室1厅1卫,100,南/北,低楼层,免费使用,民电,集中供暖,无,民水,有,顺义
BJ1570280198337724416,3500,整租,,2室1厅1卫,72.99,南,中楼层,免费使用,民电,集中供暖,有,民水,有,石景山
BJ2903684640487243776,4300,整租,,2室1厅1卫,89.7,南/北,高楼层,租用车位,民电,自采暖,无,民水,有,昌平
BJ2864561659992096768,7500,整租,补806,5房间3卫,156.64,东/南,中楼层,租用车位,商电,集中供暖,有,商水,无,房山
BJ1572072052221804544,4500,整租,,3室1厅1卫,94,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,顺义
BJ2854952902550618112,6700,整租,补991,2室1厅2卫,140,南/北,中楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ1569572731869986816,5000,整租,1038m,3室1厅1卫,104.5,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,通州
BJ1574629464996839424,2700,整租,988m,2室1厅1卫,56.51,南/北,中楼层,免费使用,民电,集中供暖,无,民水,有,顺义
BJ1564853846625222656,8500,整租,224m,4室2厅2卫,178.13,南/西南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,丰台
BJ1573580194730475520,3100,整租,,2室1厅1卫,65,南,低楼层,租用车位,民电,集中供暖,有,民水,有,门头沟
BJ2901345862317768704,7400,整租,161m,3室1厅2卫,155.37,南/北,低楼层,租用车位,民电,自采暖,有,民水,有,大兴
BJ2897793607543300096,4000,整租,734m,2室1厅1卫,84,南/北,高楼层,租用车位,民电,集中供暖,有,民水,有,大兴
BJ1571087462803963904,4200,整租,,3室1厅1卫,88.24,南/北,低楼层,租用车位,民电,自采暖,有,民水,有,房山
BJ2905073428430602240,7000,整租,,3室2厅2卫,147.14,南/北,低楼层,免费使用,民电,集中供暖,有,民水,有,顺义
BJ1566363899203158016,4800,整租,,3室1厅1卫,101,南,中楼层,免费使用,民电,集中供暖,无,民水,有,顺义
BJ1570742142765105152,6500,整租,597m,3室2厅2卫,137,南/北,高楼层,租用车位,民电,集中供暖,无,民水,有,顺义
BJ2882465858171707392,3600,整租,627m,3室1厅1卫,76,南/北,低楼层,租用车位,民电,集中供暖,有,民水,有,顺义
BJ1571343795683852288,3600,整租,,2室1厅1卫,76,南/北,高楼层,免费使用,民电,集中供暖,无,民水,有,石景山
BJ1569673851502067712,3600,整租,,2室1厅1卫,76,南,中楼层,租用车位,民电,集中供暖,有,民水,有,石景山
BJ1574685238498426880,4500,整租,444m,3室1厅1卫,95,南/西,低楼层,租用车位,民电,集中供暖,有,民水,有,顺义
